mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
6.7507171630859375,0.27071280428622635,0.014983415603637695,0.0011136660915060288,0.6,0.5,5,1,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6}",0.9937639841212559,0.9905016239624684,0.995539516420065,0.995821003247925,0.9909274630097438,0.9942186936124142,0.9950631540959942,0.9934059549745825,0.9962745098039215,0.9956717501815541,0.9941187653429925,0.0019177875288715815,23
6.8910226106643675,0.22166803191059833,0.014474177360534668,0.0011621397187074924,0.6,0.5,5,1,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8}",0.9939516420064959,0.9905521472392638,0.9957704799711296,0.9960736196319018,0.9911872970046914,0.9946445326596896,0.9953302057019127,0.9934567901234567,0.9957007988380537,0.9957443718228032,0.99424118849994,0.0018726879170997332,8
6.552508997917175,0.11271772448282288,0.013216900825500488,0.0016360709594584024,0.6,0.5,5,1,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0}",0.9939877300613497,0.9907253699025622,0.9952219415373511,0.9958210032479249,0.9902129195236377,0.9945507037170697,0.9952580295922049,0.9936891793754539,0.995758896151053,0.9969426289034133,0.994216840201202,0.002077008223740619,10
6.550352311134338,0.30359060666239834,0.014956235885620117,0.0018914862444354122,0.6,0.5,5,5,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.6}",0.9931865752435944,0.9887838325514254,0.9949981955972573,0.9955178635871527,0.9905665824612053,0.9943125225550342,0.9938145073980513,0.9922222222222222,0.9955628177196805,0.9951270878721858,0.993409220720781,0.0021557787319241737,122
11.108851504325866,1.5719070309001706,0.025701522827148438,0.004967516686290501,0.6,0.5,5,5,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8}",0.9940526885600867,0.9895994225911224,0.9952652472031758,0.9950487188740526,0.9902490075784915,0.9940454709491158,0.9949909779862864,0.9926870007262164,0.9955700798838053,0.9950399419026871,0.993654855625504,0.002029825588654005,88
7.842443180084229,1.010957968194978,0.01837794780731201,0.00387339473968181,0.6,0.5,5,5,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 1.0}",0.993915553951642,0.9903500541320822,0.9950487188740527,0.9952363767592928,0.9909996391194515,0.9936629375676651,0.9945001804402742,0.993035584604212,0.9958169934640523,0.9957298474945533,0.9938295886407278,0.0017960280080204984,60
8.501111364364624,0.5548148089513103,0.024758434295654295,0.011977804279784059,0.6,0.5,5,10,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.6}",0.9919523637675929,0.9885528690003609,0.9951425478166728,0.994853843377842,0.9886539155539517,0.9932082280765065,0.9935330205701913,0.9915976761074801,0.9946768336964416,0.9935584604212055,0.9925729758388245,0.002266811578777741,238
7.106489086151123,0.35336241590530176,0.018509268760681152,0.0046334203656574705,0.6,0.5,5,10,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.8}",0.9930133525802959,0.9892385420425839,0.9945001804402742,0.9945579213280404,0.989267412486467,0.993821725009022,0.9937206784554312,0.9928395061728394,0.9951053013798112,0.994967320261438,0.9931031940156203,0.0020536585543407485,176
8.72478814125061,0.4254143340748424,0.01989905834197998,0.0029419238636106304,0.6,0.5,5,10,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 1.0}",0.993323709852039,0.9895633345362685,0.9947311439913389,0.9948538433778419,0.9897149043666547,0.9940743413929989,0.9933020570191267,0.9925925925925925,0.9946114742193174,0.9958315177923022,0.993259891914048,0.002012243485549175,149
11.600868749618531,1.4057874744365555,0.020000791549682616,0.0032698382520117385,0.6,0.5,8,1,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.6}",0.9933670155178635,0.98967159870083,0.9955178635871527,0.9957271743053049,0.9913749548899314,0.9944713099963912,0.994882713821725,0.9941031227305737,0.9957298474945534,0.9956136528685547,0.9940459253912881,0.0019468111762974865,32
12.570078563690185,0.6032146948558509,0.022022056579589843,0.0029647637827161268,0.6,0.5,8,1,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.8}",0.9930710934680621,0.9902129195236377,0.9950703717069651,0.9957199566943342,0.9904944063514975,0.9949837603753158,0.9953157704799711,0.9928685548293391,0.9958460421205519,0.9960711692084242,0.9939654044758098,0.002079971846767455,42
