iter	Logloss
0	0.637910338
1	0.5883679993
2	0.5450076057
3	0.5087283121
4	0.4770491371
5	0.4526809637
6	0.4293185654
7	0.4086279231
8	0.3918504254
9	0.3784473472
10	0.3639481237
11	0.3513188472
12	0.3418184227
13	0.3319944834
14	0.321893697
15	0.3141552118
16	0.3093046425
17	0.3049753164
18	0.299510108
19	0.29534335
20	0.2889881836
21	0.2840899125
22	0.277882391
23	0.274139862
24	0.2703272888
25	0.2678522282
26	0.2651491451
27	0.2617358916
28	0.2589155647
29	0.2559570794
30	0.2519924045
31	0.2506565966
32	0.2490864515
33	0.2472859857
34	0.2450666508
35	0.2410383117
36	0.238815926
37	0.2373037069
38	0.2361800617
39	0.2331230127
40	0.2301057846
41	0.2291118019
42	0.2274889162
43	0.2260876876
44	0.2246033086
45	0.2212045568
46	0.2150074982
47	0.213448753
48	0.2126783178
49	0.2113537226
50	0.2103244536
51	0.2095477635
52	0.2078842407
53	0.2071855082
54	0.2056182599
55	0.2046444698
56	0.2034411728
57	0.2003730939
58	0.1990240843
59	0.1979371133
60	0.1971587301
61	0.1953085061
62	0.1940940096
63	0.1933471203
64	0.19222814
65	0.1914354607
66	0.1906097215
67	0.1899578809
68	0.1892108731
69	0.1878717312
70	0.1869160772
71	0.1826845904
72	0.1793252356
73	0.1787778969
74	0.1779763195
75	0.1763884491
76	0.1748930573
77	0.1740137675
78	0.1735718686
79	0.1730195704
80	0.1722697226
81	0.1716948705
82	0.1713580776
83	0.1708058657
84	0.1700667268
85	0.1684542456
86	0.1676069967
87	0.1650689413
88	0.1645293739
89	0.1637461948
90	0.1630513726
91	0.1623392171
92	0.1610680121
93	0.160503185
94	0.1585586308
95	0.1577993814
96	0.157441523
97	0.1563607196
98	0.1546797528
99	0.1541136708
100	0.1535927411
101	0.1529213992
102	0.1526386393
103	0.1517801004
104	0.1513744822
105	0.1508982126
106	0.1504866472
107	0.1501885841
108	0.1495909549
109	0.1490440332
110	0.1476909403
111	0.1475002372
112	0.1463747252
113	0.1459437668
114	0.1450596007
115	0.1446813918
116	0.1440491178
117	0.1436156926
118	0.1432398689
119	0.1427870662
120	0.1419003281
121	0.1416386641
122	0.1414144756
123	0.1411510545
124	0.1407343767
125	0.1403079797
126	0.1399920454
127	0.1396518255
128	0.1392903236
129	0.1385963704
130	0.1381199469
131	0.1372379281
132	0.1370423799
133	0.1360803386
134	0.1346370273
135	0.1343943171
136	0.1339505915
137	0.1334671409
138	0.1326516034
139	0.1323555093
140	0.1319655741
141	0.131653615
142	0.1312045134
143	0.1308847992
144	0.1303676116
145	0.1297952707
146	0.1289482542
147	0.1285209443
148	0.128341384
149	0.1281586875
1
